countyID,year,unemployment_rate,per_capita_income,bachelors_rate,median_age,poverty_rate,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,total_pop,gdp
13013,2019,4.7,25266,19,35.7,,,,,,,,,,
13015,2019,4.5,26493,18.6,38.1,,,,,,,,,,
13017,2019,5,17774,11.2,39.9,,,,,,,,,,
13019,2019,5.6,19547,11.4,39.6,,,,,,,,,,
13021,2019,6.7,25640,25.4,36.4,,,,,,,,,,
13023,2019,5.7,20458,18.7,35.8,,,,,,,,,,
13025,2019,4.9,20191,8.9,41.1,,,,,,,,,,
13027,2019,7,25700,17.8,42,,,,,,,,,,
13029,2019,6.3,31623,33.1,34.6,,,,,,,,,,
13031,2019,6.2,22328,27,28.8,,,,,,,,,,
13033,2019,4.3,22173,13.2,37.4,,,,,,,,,,
13035,2019,5,27195,12.2,38.6,,,,,,,,,,
13037,2019,14.7,14005,9.1,39.6,,,,,,,,,,
13039,2019,6.1,29741,23.9,32.8,,,,,,,,,,
13043,2019,5.8,20687,13,38.7,,,,,,,,,,
13045,2019,6.3,24993,21.1,34.8,,,,,,,,,,
13047,2019,4,27308,21.4,40.4,,,,,,,,,,
13049,2019,11.6,18323,8.8,41.2,,,,,,,,,,
13051,2019,6.5,32229,33.6,35.6,,,,,,,,,,
13053,2019,11,23769,29.5,24.5,,,,,,,,,,
13055,2019,4.8,18715,8.9,39.4,,,,,,,,,,
13057,2019,3.3,36503,38.2,38.7,,,,,,,,,,
13059,2019,4.2,23827,44,28,,,,,,,,,,
13061,2019,12.1,17036,12.5,49.8,,,,,,,,,,
13063,2019,7.2,20970,19.5,32.5,,,,,,,,,,
13065,2019,5.7,15152,10,39.9,,,,,,,,,,
13067,2019,4,40031,47.4,36.7,,,,,,,,,,
13069,2019,3.9,19905,13,36.3,,,,,,,,,,
13071,2019,7.9,20529,12.8,36.8,,,,,,,,,,
13073,2019,4.5,34579,36.4,36.9,,,,,,,,,,
13075,2019,5.4,20128,13.5,37.3,,,,,,,,,,
13077,2019,3.9,33875,30.3,39,,,,,,,,,,
13079,2019,8,23204,10.5,44.4,,,,,,,,,,
13081,2019,10.3,22933,14.1,38.5,,,,,,,,,,
13083,2019,4.7,24000,15.2,42.6,,,,,,,,,,
13085,2019,4,34239,30.6,43.6,,,,,,,,,,
13087,2019,4.9,21568,13.8,37.8,,,,,,,,,,
13089,2019,6,36077,44.2,35.8,,,,,,,,,,
13091,2019,5.2,20216,14.3,41.8,,,,,,,,,,
13093,2019,11.2,22716,12.1,43.2,,,,,,,,,,
13095,2019,11.6,22059,21.4,35.6,,,,,,,,,,
13097,2019,6.1,27743,28.2,36.5,,,,,,,,,,
13099,2019,7.3,19026,15.1,39.9,,,,,,,,,,
13101,2019,3.6,23885,9.7,40.6,,,,,,,,,,
13103,2019,3.2,31704,20,36,,,,,,,,,,
13105,2019,7.8,22355,11.6,42.6,,,,,,,,,,
13107,2019,5.8,19389,13,36.9,,,,,,,,,,
13109,2019,5.9,20725,15.8,37.6,,,,,,,,,,
13111,2019,4.5,27940,21.8,52.1,,,,,,,,,,
13113,2019,3.7,44061,46.2,43.4,,,,,,,,,,
13115,2019,5.1,25776,20.9,38.3,,,,,,,,,,
13117,2019,2.9,43832,53.1,38.5,,,,,,,,,,
13119,2019,4.4,23187,15.9,41.2,,,,,,,,,,
